	0
R2	0.7854102254890157
MSE	0.005436292281181729
MAE	0.05694121891715028
pearsonCor	0.8866965073754554
pearsonCorPvalue	9.837649939034947e-297
spearmanCor	0.8088021344292791
spearmanCorPvalue	7.192621777958487e-205
