	0
R2	0.606197986714266
MSE	0.00968899478663774
MAE	0.07662668013789896
pearsonCor	0.7854643736363685
pearsonCorPvalue	1.6999091717455566e-198
spearmanCor	0.6839635770690201
spearmanCorPvalue	3.615223339783899e-131
